Date,Overnight HRV,Baseline,7d Avg
Sep 25,109ms,88ms - 107ms,101ms
Sep 26,109ms,88ms - 108ms,100ms
Sep 27,102ms,88ms - 108ms,102ms
Sep 28,108ms,88ms - 108ms,106ms
Sep 29,107ms,88ms - 108ms,106ms
Sep 30,110ms,89ms - 108ms,108ms
Oct 1,97ms,89ms - 109ms,106ms
Oct 2,108ms,89ms - 109ms,106ms
Oct 3,111ms,90ms - 110ms,106ms
Oct 4,115ms,90ms - 110ms,108ms
Oct 5,110ms,90ms - 111ms,108ms
Oct 6,110ms,91ms - 111ms,108ms
Oct 7,109ms,91ms - 111ms,108ms
Oct 8,111ms,91ms - 111ms,110ms
Oct 9,100ms,92ms - 112ms,109ms
Oct 10,103ms,92ms - 112ms,108ms
Oct 11,100ms,92ms - 113ms,106ms
Oct 12,119ms,93ms - 113ms,107ms
Oct 13,113ms,93ms - 114ms,108ms
Oct 14,109ms,93ms - 114ms,108ms
Oct 15,111ms,94ms - 114ms,108ms
Oct 16,108ms,94ms - 114ms,109ms
Oct 17,91ms,94ms - 114ms,107ms
Oct 18,97ms,94ms - 114ms,107ms
Oct 19,95ms,95ms - 115ms,103ms
Oct 20,94ms,95ms - 115ms,100ms
Oct 21,92ms,95ms - 116ms,98ms
Oct 22,58ms,95ms - 116ms,89ms
